date,V80691344
7/10/19,1.66
7/17/19,1.65
7/24/19,1.65
7/31/19,1.65
8/7/19,1.64
8/14/19,1.64
8/21/19,1.64
8/28/19,1.62
9/4/19,1.62
9/11/19,1.62
9/18/19,1.63
9/25/19,1.64
10/2/19,1.63
10/9/19,1.63
10/16/19,1.7
10/23/19,1.65
10/30/19,1.66
11/6/19,1.67
11/13/19,1.66
11/20/19,1.66
11/27/19,1.66
12/4/19,1.66
12/11/19,1.65
12/18/19,1.66
12/25/19,1.66
1/1/20,1.66
1/8/20,1.65
1/15/20,1.64
1/22/20,1.64
1/29/20,1.64
2/5/20,1.64
2/12/20,1.64
2/19/20,1.64
2/26/20,1.61
3/4/20,1.14
3/11/20,0.64
3/18/20,0.42
3/25/20,0.49
4/1/20,0.2
4/8/20,0.22
4/15/20,0.3
4/22/20,0.25
4/29/20,0.26
5/6/20,0.22
5/13/20,0.27
5/20/20,0.23
5/27/20,0.22
6/3/20,0.19
6/10/20,0.18
6/17/20,0.19
6/24/20,0.21
7/1/20,0.2
7/8/20,0.19
7/15/20,0.18
7/22/20,0.17
7/29/20,0.16
8/5/20,0.17
8/12/20,0.16
8/19/20,0.16
8/26/20,0.14
9/2/20,0.15
9/9/20,0.15
9/16/20,0.15
9/23/20,0.14
9/30/20,0.12
10/7/20,0.11
10/14/20,0.1
10/21/20,0.1
10/28/20,0.09
11/4/20,0.1
11/11/20,0.1
11/18/20,0.11
11/25/20,0.12
12/2/20,0.12
12/9/20,0.13
12/16/20,0.12
12/23/20,0.09
12/30/20,0.07
